                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1347,                 1.4326,                 1.2358,                 0.6574,                0.53408,                0.61542,                0.45739,                 1.0844,                 1.1279,                 1.1263,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                  1.109,                 1.3403,                  1.237,                0.67557,                0.55017,                0.62929,                0.46763,                 1.0794,                 1.0951,                 1.1218,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                 1.1929,                 1.3855,                 1.2344,                0.67622,                0.57211,                 0.6467,                0.48146,                 1.0698,                 1.0688,                 1.1162,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      4,                 1.1576,                 1.2996,                 1.2161,                0.68121,                0.59572,                0.66562,                0.49292,                 1.0627,                 1.0425,                 1.1092,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      5,                 1.1075,                 1.2315,                 1.2045,                0.67408,                0.62522,                0.67837,                0.50457,                 1.0538,                 1.0146,                  1.102,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      6,                 1.1179,                 1.2299,                 1.2027,                0.68915,                0.63971,                 0.6881,                0.51432,                 1.0398,                0.98828,                 1.0949,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      7,                 1.0819,                 1.1621,                 1.1711,                0.72257,                0.61607,                0.69262,                0.52079,                 1.0341,                0.96866,                 1.0905,             6.1562e-05,             6.1562e-05,             6.1562e-05
                      8,                 1.1114,                 1.1627,                 1.1848,                0.78369,                0.60196,                0.70521,                0.53143,                 1.0279,                0.95085,                 1.0851,             6.9775e-05,             6.9775e-05,             6.9775e-05
                      9,                 1.0863,                 1.1677,                 1.1743,                0.75519,                0.62493,                 0.7203,                 0.5432,                 1.0145,                0.92175,                 1.0774,             7.7798e-05,             7.7798e-05,             7.7798e-05
                     10,                 1.0973,                 1.1448,                 1.1789,                0.78672,                0.63909,                0.74156,                0.55558,                 1.0076,                0.89788,                 1.0736,             8.5634e-05,             8.5634e-05,             8.5634e-05
                     11,                  1.081,                 1.1201,                 1.1607,                0.73111,                0.68017,                0.76014,                0.57326,                0.99776,                0.87548,                 1.0688,             9.3281e-05,             9.3281e-05,             9.3281e-05
                     12,                 1.0338,                 1.0249,                 1.1462,                0.74834,                 0.6899,                0.76761,                0.58077,                0.99254,                0.85522,                 1.0652,             0.00010074,             0.00010074,             0.00010074
                     13,                 1.0327,                 1.0182,                 1.1418,                 0.7659,                0.68213,                 0.7746,                0.58728,                0.98055,                0.82836,                 1.0588,             0.00010486,             0.00010486,             0.00010486
                     14,                 1.0201,                 1.0179,                 1.1623,                 0.7974,                0.67504,                0.77917,                0.59604,                0.96602,                 0.8049,                 1.0511,             0.00010368,             0.00010368,             0.00010368
                     15,                 1.0352,                 1.0652,                 1.1441,                0.80623,                0.70036,                0.79368,                 0.6044,                0.95551,                0.79077,                 1.0454,             0.00010251,             0.00010251,             0.00010251
                     16,                 1.0427,                 1.0321,                 1.1522,                0.82964,                0.69715,                0.80427,                0.61665,                0.94654,                0.78086,                 1.0398,             0.00010133,             0.00010133,             0.00010133
                     17,                0.98294,                0.92553,                 1.1258,                0.82448,                  0.706,                0.80812,                 0.6226,                0.93738,                0.77058,                 1.0344,             0.00010015,             0.00010015,             0.00010015
                     18,                0.99474,                0.94508,                 1.1359,                 0.7932,                0.73131,                0.81138,                0.63237,                0.92865,                 0.7557,                  1.029,             9.8972e-05,             9.8972e-05,             9.8972e-05
                     19,                0.95433,                 0.9238,                 1.0954,                0.77686,                0.75053,                0.81325,                0.63364,                0.92153,                0.74596,                 1.0242,             9.7794e-05,             9.7794e-05,             9.7794e-05
                     20,                0.97979,                0.97694,                  1.125,                0.77912,                0.75392,                0.81527,                0.63606,                0.91327,                0.73039,                 1.0204,             9.6616e-05,             9.6616e-05,             9.6616e-05
                     21,                0.96746,                0.90866,                 1.1198,                 0.7776,                0.74948,                0.81754,                0.63861,                0.90349,                0.72295,                 1.0159,             9.5438e-05,             9.5438e-05,             9.5438e-05
                     22,                0.99924,                0.90072,                 1.1118,                0.77612,                0.76737,                0.82131,                0.64587,                0.89649,                 0.7173,                 1.0131,              9.426e-05,              9.426e-05,              9.426e-05
                     23,                0.99819,                 0.9265,                 1.1116,                0.78723,                0.76724,                0.82606,                0.64408,                0.89415,                0.71002,                 1.0106,             9.3082e-05,             9.3082e-05,             9.3082e-05
                     24,                0.98329,                0.90013,                 1.1189,                0.79849,                0.74653,                0.83035,                0.64332,                0.89049,                0.70438,                 1.0053,             9.1904e-05,             9.1904e-05,             9.1904e-05
                     25,                 0.9858,                0.92736,                 1.0987,                0.80102,                0.75935,                0.83134,                0.64527,                0.87987,                0.69665,                0.99802,             9.0726e-05,             9.0726e-05,             9.0726e-05
                     26,                0.97478,                0.87746,                 1.1066,                0.79602,                0.76137,                0.83154,                0.65151,                0.86613,                0.68695,                0.99116,             8.9547e-05,             8.9547e-05,             8.9547e-05
                     27,                0.97502,                 0.9279,                  1.125,                0.81133,                0.75471,                0.83278,                 0.6559,                0.85934,                0.68161,                0.98759,             8.8369e-05,             8.8369e-05,             8.8369e-05
                     28,                0.94615,                 0.8433,                 1.0688,                0.81728,                0.76528,                0.83577,                0.66063,                0.85542,                0.67493,                0.98598,             8.7191e-05,             8.7191e-05,             8.7191e-05
                     29,                0.92303,                0.85298,                 1.0794,                0.83355,                0.76371,                0.83817,                0.66412,                0.85404,                0.66527,                0.98549,             8.6013e-05,             8.6013e-05,             8.6013e-05
                     30,                0.91182,                0.83916,                 1.0848,                0.82609,                0.78006,                0.84329,                0.66916,                0.85179,                0.65886,                0.98365,             8.4835e-05,             8.4835e-05,             8.4835e-05
                     31,                0.98582,                0.86401,                 1.1024,                0.86319,                0.76034,                0.84705,                 0.6719,                0.84578,                0.65125,                0.98086,             8.3657e-05,             8.3657e-05,             8.3657e-05
                     32,                0.96423,                0.84056,                 1.0799,                0.86028,                0.76048,                0.84761,                0.67463,                0.84181,                0.64621,                 0.9791,             8.2479e-05,             8.2479e-05,             8.2479e-05
                     33,                0.94309,                0.84503,                 1.0737,                0.86018,                0.76911,                0.84768,                0.67438,                0.83561,                0.64459,                0.97693,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     34,                0.97589,                0.85094,                 1.0941,                0.86752,                0.76894,                0.85109,                0.67744,                0.83085,                0.64379,                0.97486,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     35,                0.95935,                0.89242,                 1.1034,                0.85918,                0.77911,                 0.8512,                0.67721,                0.82593,                0.64337,                 0.9726,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     36,                0.94178,                  0.818,                 1.0822,                0.84804,                0.78653,                0.85452,                0.67644,                0.82279,                0.64853,                0.97117,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     37,                0.88477,                0.78639,                 1.0667,                0.84842,                0.79066,                0.85468,                0.68345,                0.82004,                0.64452,                 0.9691,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     38,                0.89897,                0.78926,                 1.0664,                0.84365,                0.78618,                0.85313,                0.68302,                0.81754,                0.63364,                0.96669,              7.541e-05,              7.541e-05,              7.541e-05
                     39,                0.94377,                 0.8422,                 1.0794,                0.85177,                0.78492,                0.85205,                 0.6833,                 0.8126,                0.62185,                0.96297,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     40,                0.93226,                0.80603,                 1.0646,                0.86294,                0.77705,                 0.8531,                0.68817,                0.80769,                0.61171,                0.96054,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     41,                0.96388,                 0.8104,                 1.0769,                 0.8681,                0.77914,                0.85779,                0.69148,                0.80581,                0.60705,                0.95946,             7.1876e-05,             7.1876e-05,             7.1876e-05
